student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,hobbies,skills.soft,family.siblings,family.income.father,family.income.mother,tech_skills,skills_soft,device_item_0.type,device_item_0.brand,device_item_0.year,device_item_1.type,device_item_1.brand,device_item_1.year,addr_city,addr_district,addr_postal
46,Brandi Jones,20,Male,0.0,Yoq--,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Data Science,92.0,inactive,15.5,Unknown,0.0,1975-05-22 00:00:00,"raise, let","tell, compare",3,209.0,1191.0,"python=1, excel=5, sql=2","tell, compare",laptop,Dell,2016.0,phone,Apple,2021.0,Unknown,Unknown,Unknown
47,John Robinson,19,Unknown,51.0,Yoq--,Port Tracy,wallacerandy@bradshaw.com,,Other,0.0,active,15.5,average,0.0,1994-04-25 00:00:00,"above, even","minute, view",4,1127.0,1111.0,"python=3, excel=2, sql=5","minute, view",laptop,HP,2020.0,phone,Apple,2022.0,Unknown,Unknown,Unknown
48,Suzanne Meyer,20,Male,95.0,Yoq--,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,0.0,active,0.0,Unknown,0.0,1976-01-20 00:00:00,"do, property","parent, raise",1,709.0,1006.0,"python=3, excel=1, sql=4","parent, raise",laptop,Dell,2015.0,phone,Apple,2024.0,Unknown,Unknown,Unknown
50,Justin Wong,18,Female,90.0,010-809-9177,Travisfort,ali@gmail..com,1970-02-03 13:13:00,Other,0.0,active,3.46,average,0.0,1995-02-16 00:00:00,"decide, continue","these, could",3,204.0,506.0,"python=4, excel=4, sql=3","these, could",laptop,Lenovo,2016.0,phone,Samsung,2024.0,Tashkent,East Andrew district,100090
54,Heather Moreno,19,Female,83.0,438-917-8289,South Jasmine,woodsanna@wilkinson-glenn.info,2025-07-25 00:00:00,Data Science,0.0,pending,0.0,excellent,0.0,2024-01-16 00:00:00,"leave, effect","six, reduce",1,581.0,302.0,"python=3, excel=5, sql=5","six, reduce",laptop,Dell,2020.0,phone,Apple,2020.0,Unknown,Unknown,Unknown
55,Todd Moore,21,Male,0.0,151-749-4223,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,Other,0.0,inactive,0.0,excellent,0.0,1998-03-22 03:51:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,West Davidhaven district,100291
57,Ashley Lowe,20,Female,51.0,150-169-0067,Robertshire,zvargas@chapman.org,2025-02-08 09:46:00,Other,0.0,inactive,0.0,average,0.0,2023-01-02 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
58,Eric Holmes,20,Male,57.0,142-192-7327,West Tricia,ali@gmail..com,2001-03-13 12:56:00,Other,80.0,pending,15.5,excellent,0.0,2020-05-21 00:00:00,"recognize, between","image, leg",5,1178.0,1209.0,"python=5, excel=2, sql=2","image, leg",laptop,Lenovo,2021.0,phone,Xiaomi,2020.0,Unknown,Unknown,Unknown
62,Margaret Lopez,20,Male,51.0,518-984-8100,East Caitlinfurt,ogarcia@hahn.net,1980-02-04 04:04:00,Other,106.0,active,4.07,Unknown,0.0,Unknown,"others, one","enjoy, test",5,946.0,741.0,"python=3, excel=5, sql=2","enjoy, test",laptop,HP,2024.0,phone,Samsung,2018.0,Unknown,Unknown,Unknown
71,Robert Hayes,20,Male,0.0,780-408-5623,Tabithafurt,teresa05@collins.biz,,Other,63.0,pending,0.0,excellent,0.0,1996-09-27 00:00:00,"lead, toward","through, water",5,494.0,1415.0,"python=1, excel=2, sql=3","through, water",laptop,HP,2018.0,phone,Xiaomi,2019.0,Unknown,Unknown,Unknown
74,Brandi Reed,20,Male,51.0,Yoq--,Port Randallberg,stacy11@yahoo.com,1990-09-05 00:00:00,Python,89.0,pending,3.46,excellent,0.0,2013-07-28 22:26:51,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
77,Alexa Sanders,21,Male,73.0,347-747-5643,Lake Randymouth,johnsonchelsea@yahoo.com,1986-12-20 00:00:00,Data Science,0.0,active,0.0,excellent,0.0,2021-07-18 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
80,Brandy Gray,19,Male,51.0,129-478-0676,Andrewborough,ballen@barber-saunders.com,1986-04-11 00:00:00,Data Science,105.0,active,4.49,average,0.0,2025-07-12 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
81,Donna Scott,19,Female,0.0,160-753-6600,Lake Timfort,alicia71@robles.com,1996-11-30 17:12:35,Other,0.0,active,-2.0,excellent,65.0,2015-03-29 18:51:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
82,Karen Baker MD,20,Female,60.0,Yoq--,Kristinabury,paul48@brown.com,1974-09-10 00:00:00,Data Science,0.0,active,3.46,average,68.0,Unknown,"garden, possible","after, similar",4,349.0,536.0,"python=1, excel=4, sql=4","after, similar",laptop,Dell,2019.0,phone,Samsung,2022.0,Unknown,Unknown,Unknown
84,Michael Jenkins,18,Female,68.0,864-413-5870,New Brenda,mcolon@gmail.com,2002-11-25 00:00:00,Other,0.0,inactive,-2.0,average,0.0,2008-04-09 00:00:00,"collection, single","expect, fall",5,675.0,1465.0,"python=4, excel=4, sql=1","expect, fall",laptop,Dell,2020.0,phone,Apple,2019.0,Unknown,Unknown,Unknown
86,Mario Ramirez,22,Unknown,51.0,Yoq--,Deannachester,zford@parker.info,,Other,0.0,pending,0.0,Unknown,0.0,1984-03-09 07:06:32,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
87,Kyle Doyle,20,Female,0.0,Yoq--,Powersland,ali@gmail..com,2001-11-27 00:00:00,Data Science,0.0,inactive,0.0,Unknown,0.0,2016-05-02 00:00:00,"example, break","PM, structure",4,491.0,426.0,"python=3, excel=4, sql=3","PM, structure",laptop,Lenovo,2024.0,phone,Xiaomi,2018.0,Unknown,Unknown,Unknown
89,James Weaver,22,Female,0.0,480-026-9976,West Jonathan,ali@gmail..com,2000-04-09 11:39:29,Python,0.0,pending,0.0,Unknown,0.0,Unknown,"anything, catch","like, how",4,503.0,394.0,"python=1, excel=2, sql=2","like, how",laptop,Dell,2019.0,phone,Apple,2020.0,Tashkent,South Christina district,100031
90,Johnny Nguyen,20,Male,0.0,Yoq--,West Henrymouth,sherrimanning@gmail.com,2004-08-30 00:00:00,Other,0.0,inactive,3.46,excellent,0.0,2003-03-15 05:06:48,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
92,Peter Rogers,18,Female,0.0,Yoq--,Tonytown,ali@gmail..com,1971-12-22 21:02:00,Other,0.0,active,3.46,excellent,0.0,1997-07-15 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
93,Samantha Garcia,20,Female,0.0,Yoq--,Port Jeremyburgh,ali@gmail..com,,Data Science,89.0,pending,0.0,excellent,195.0,2017-01-31 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
96,Joel Cantrell,18,Female,91.0,699-868-7229,Duncanshire,john55@cox-horne.org,1984-10-14 00:00:00,Other,0.0,inactive,15.5,average,295.0,1971-02-21 00:00:00,"skill, continue","actually, condition",3,1454.0,391.0,"python=1, excel=5, sql=4","actually, condition",laptop,HP,2023.0,phone,Apple,2020.0,Unknown,Unknown,Unknown
98,Kathy Massey,20,Female,0.0,001-943-4844,Eddiefort,kathrynsmith@brown-davis.com,1978-04-22 07:43:00,Other,0.0,inactive,3.46,average,0.0,2002-05-04 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
99,Christopher Williams,22,Male,0.0,113-631-3712,Meganfort,bbaker@gmail.com,,Data Science,0.0,active,-2.0,average,0.0,1992-01-07 00:00:00,"never, agent","necessary, billion",2,1201.0,1493.0,"python=5, excel=4, sql=3","necessary, billion",laptop,Lenovo,2024.0,phone,Xiaomi,2024.0,Unknown,Unknown,Unknown
102,Gary Allison,20,Female,0.0,052-639-0071,Michaelmouth,renee09@jones.org,1985-09-26 10:21:00,Python,0.0,pending,-2.0,good,0.0,2007-12-22 20:55:40,"always, wife","several, federal",5,744.0,1338.0,"python=2, excel=3, sql=1","several, federal",laptop,Dell,2016.0,phone,Samsung,2020.0,Unknown,Unknown,Unknown
103,Barbara Goodman,20,Female,51.0,Yoq--,West Sergiochester,emilycarson@hotmail.com,,Other,0.0,pending,0.0,excellent,0.0,1986-05-30 00:00:00,"final, son","process, include",0,1376.0,1070.0,"python=5, excel=5, sql=4","process, include",laptop,Lenovo,2018.0,phone,Samsung,2019.0,Unknown,Unknown,Unknown
104,Melissa Crane,20,Female,81.0,409-036-3015,Colemanland,brownmicheal@taylor.com,1970-12-20 00:00:00,Other,0.0,active,15.5,good,0.0,2004-04-12 23:36:00,"none, child","community, sound",1,361.0,403.0,"python=3, excel=3, sql=4","community, sound",laptop,HP,2016.0,phone,Xiaomi,2023.0,Unknown,Unknown,Unknown
106,Jeanette Harmon,20,Female,81.0,295-618-2527,Bowerschester,olsonkathy@gmail.com,,Data Science,82.0,active,-2.0,excellent,0.0,Unknown,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,Port Kyleburgh district,100452
108,Jennifer Phelps,21,Female,51.0,313-992-0889,Toddstad,bcastro@davis.com,1997-03-27 20:53:00,Other,0.0,inactive,-2.0,good,0.0,1972-01-20 22:38:21,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
109,Toni Mcdonald,22,Female,61.0,362-522-6895,New Paulton,ali@gmail..com,1982-01-02 00:00:00,Other,120.0,pending,3.46,excellent,220.0,2018-02-18 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
111,Justin Bell,21,Male,70.0,502-707-7552,Fullerland,ali@gmail..com,2011-06-29 05:58:09,Python,0.0,inactive,3.46,good,0.0,2021-07-05 20:20:00,"despite, result","sound, until",1,1321.0,825.0,"python=3, excel=2, sql=4","sound, until",laptop,Dell,2024.0,phone,Xiaomi,2018.0,Unknown,Unknown,Unknown
113,Joseph Burton,21,Unknown,51.0,Yoq--,East Saraville,shannon36@york-vargas.com,1989-02-18 05:14:00,Data Science,103.0,pending,0.0,good,0.0,1984-08-15 00:00:00,"he, magazine","resource, late",3,945.0,632.0,"python=5, excel=4, sql=3","resource, late",laptop,HP,2022.0,phone,Samsung,2018.0,Tashkent,Scotthaven district,100170
115,Thomas Meyer,20,Female,76.0,Yoq--,East Robert,pparker@peters-hall.com,2004-06-19 00:00:00,Other,0.0,pending,0.0,Unknown,0.0,1993-12-03 04:42:51,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,Fosterside district,100730
117,Richard Burton,21,Unknown,51.0,Yoq--,Catherineview,david83@leon.com,1978-06-06 00:00:00,Other,105.0,inactive,15.5,good,0.0,2021-07-25 00:00:00,"although, at","simple, fire",1,993.0,869.0,"python=4, excel=2, sql=4","simple, fire",laptop,Lenovo,2016.0,phone,Apple,2018.0,Unknown,Unknown,Unknown
126,Mark Scott,21,Unknown,79.0,359-996-1128,Port Carolyn,ali@gmail..com,2008-05-21 00:00:00,Data Science,87.0,pending,0.0,excellent,0.0,1993-10-25 10:56:20,"bed, agree","town, expect",4,431.0,751.0,"python=2, excel=1, sql=1","town, expect",laptop,HP,2024.0,phone,Xiaomi,2023.0,Unknown,Unknown,Unknown
130,Tamara Nguyen,22,Female,51.0,Yoq--,South Nathanberg,claire76@saunders.com,2001-10-10 09:28:00,Other,63.0,inactive,-2.0,Unknown,0.0,Unknown,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,Gillside district,100582
137,Dylan Rodriguez,20,Unknown,75.0,Yoq--,North Luketown,ali@gmail..com,2001-04-21 22:30:00,Other,113.0,inactive,0.0,Unknown,0.0,Unknown,"bed, customer","various, son",4,1009.0,1110.0,"python=5, excel=1, sql=4","various, son",laptop,Lenovo,2020.0,phone,Apple,2019.0,Tashkent,Jonesborough district,100895
146,Theresa Compton,22,Female,51.0,703-528-0200,New Andrew,brownkenneth@montes.info,1985-08-23 00:00:00,Data Science,0.0,inactive,15.5,excellent,146.0,1992-05-30 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
151,Natasha Mayer,20,Male,51.0,053-853-2569,Millermouth,ali@gmail..com,2011-06-11 00:00:00,Data Science,0.0,active,0.0,good,173.0,2007-06-07 11:04:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
152,Andrew Ramirez,20,Unknown,51.0,107-557-8542,Alicialand,morsetheresa@hotmail.com,2000-07-25 00:00:00,Data Science,0.0,inactive,-2.0,excellent,163.0,1991-08-10 03:06:00,"morning, chair","way, level",1,367.0,1052.0,"python=1, excel=2, sql=3","way, level",laptop,Lenovo,2021.0,phone,Xiaomi,2020.0,Unknown,Unknown,Unknown
154,Heather Meyers,21,Female,86.0,001-398-1249,East Donaldview,beverly27@martinez.com,2002-02-23 00:00:00,Other,87.0,pending,3.46,Unknown,0.0,2002-12-06 00:00:00,"represent, statement","right, land",2,1296.0,574.0,"python=3, excel=1, sql=3","right, land",laptop,HP,2020.0,phone,Apple,2023.0,Unknown,Unknown,Unknown
155,John Blevins,20,Female,0.0,001-061-0176,West Alicia,john04@hotmail.com,2001-02-08 19:22:00,Python,0.0,pending,15.5,Unknown,0.0,1970-04-12 00:00:00,"herself, long","meet, site",3,851.0,1191.0,"python=4, excel=3, sql=2","meet, site",laptop,Dell,2021.0,phone,Apple,2022.0,Tashkent,East Catherinechester district,100015
160,Eric Smith,21,Female,87.0,Yoq--,Maryshire,ali@gmail..com,1983-04-08 10:45:00,Other,96.0,inactive,3.46,good,0.0,1975-04-28 00:00:00,"identify, bag","heavy, during",4,420.0,723.0,"python=4, excel=1, sql=5","heavy, during",laptop,Lenovo,2024.0,phone,Samsung,2024.0,Unknown,Unknown,Unknown
162,Ryan Jones,20,Female,67.0,Yoq--,West Saraborough,ali@gmail..com,,Other,0.0,active,4.35,excellent,0.0,2019-12-21 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
163,Ana Ruiz,20,Male,92.0,056-003-2424,Andrewston,longsheila@price.org,,Data Science,0.0,pending,3.96,Unknown,141.0,1976-12-20 15:53:18,"animal, wind","suggest, question",2,225.0,1014.0,"python=1, excel=4, sql=4","suggest, question",laptop,Lenovo,2016.0,phone,Xiaomi,2019.0,Unknown,Unknown,Unknown
164,Thomas Cohen,21,Male,0.0,001-762-9602,Merrittport,ashleywoodard@roberts-reynolds.biz,1976-04-18 00:00:00,Data Science,113.0,pending,3.46,average,0.0,1984-01-04 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
165,Donald Shields,20,Unknown,85.0,Yoq--,South Katelynberg,ucaldwell@yahoo.com,2019-11-15 16:17:37,Other,0.0,inactive,0.0,good,0.0,2014-02-22 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,New Mariahton district,100768
166,Kathleen Taylor,18,Male,51.0,516-297-5629,Lake Jason,theresa17@sanchez.com,2015-02-16 17:12:41,Data Science,0.0,active,0.0,excellent,0.0,1995-02-08 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tashkent,South Thomas district,100972
167,Michael Ho,20,Female,73.0,Yoq--,West Timothyburgh,jacob69@hotmail.com,,Other,0.0,inactive,3.46,average,266.0,Unknown,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
168,Heather Peterson,19,Male,51.0,Yoq--,Cooperside,meyerjean@hotmail.com,1998-07-28 00:00:00,Other,98.0,inactive,0.0,excellent,0.0,Unknown,"real, only","performance, company",0,375.0,914.0,"python=4, excel=5, sql=2","performance, company",laptop,Dell,2020.0,phone,Samsung,2019.0,Tashkent,Tracyborough district,100253
169,Jacob Joyce,20,Female,51.0,761-758-0551,East Kristin,mitchellamy@hotmail.com,1981-02-09 00:00:00,Python,0.0,pending,3.46,Unknown,0.0,2019-01-29 00:00:00,"according, particularly","sort, pay",2,953.0,266.0,"python=2, excel=4, sql=2","sort, pay",laptop,Dell,2023.0,phone,Apple,2024.0,Unknown,Unknown,Unknown
170,Ronnie Campbell,20,Female,51.0,424-938-2701,North Kathryn,ali@gmail..com,1992-04-30 00:00:00,Other,78.0,active,15.5,good,0.0,1997-08-08 00:00:00,"thought, shoulder","care, who",4,344.0,963.0,"python=3, excel=4, sql=1","care, who",laptop,Lenovo,2017.0,phone,Apple,2020.0,Unknown,Unknown,Unknown
171,Mark Torres,22,Female,51.0,Yoq--,Phelpsberg,riveraalexis@lynch.com,1990-10-08 00:00:00,Data Science,0.0,active,3.46,Unknown,278.0,1988-03-15 09:52:29,"sure, clearly","woman, eye",3,997.0,540.0,"python=3, excel=3, sql=3","woman, eye",laptop,HP,2021.0,phone,Apple,2020.0,Unknown,Unknown,Unknown
173,Allison Dyer,20,Female,64.0,Yoq--,Josephchester,ali@gmail..com,2022-08-15 00:00:00,Other,0.0,inactive,0.0,excellent,262.0,1982-04-08 13:38:01,"commercial, war","story, with",5,605.0,297.0,"python=5, excel=4, sql=2","story, with",laptop,HP,2021.0,phone,Xiaomi,2024.0,Unknown,Unknown,Unknown
174,Teresa Smith,18,Unknown,51.0,Yoq--,New Shane,williamsdavid@woods.info,,Other,0.0,inactive,4.06,excellent,0.0,Unknown,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
177,Carlos Frazier,20,Unknown,0.0,001-969-9652,Port Gracemouth,zrobinson@russell.biz,1999-11-28 00:00:00,Data Science,86.0,pending,-2.0,excellent,0.0,2014-07-30 00:00:00,"relationship, newspaper","fly, method",4,1008.0,416.0,"python=2, excel=3, sql=3","fly, method",laptop,Lenovo,2019.0,phone,Samsung,2018.0,Unknown,Unknown,Unknown
186,Michael Taylor,19,Unknown,95.0,917-224-8049,South Jamie,yfreeman@morales-martin.com,2024-06-13 01:04:00,Other,95.0,active,1.46,average,0.0,Unknown,"foreign, foot","themselves, medical",5,1007.0,565.0,"python=1, excel=2, sql=1","themselves, medical",laptop,HP,2021.0,phone,Samsung,2021.0,Unknown,Unknown,Unknown
190,Kurt Price,20,Female,85.0,956-082-1206,Ashleyburgh,peter22@gmail.com,2022-08-08 10:00:00,Other,0.0,inactive,-2.0,good,0.0,1970-05-16 20:54:00,"teach, federal","create, have",2,419.0,744.0,"python=5, excel=2, sql=5","create, have",laptop,Lenovo,2023.0,phone,Apple,2024.0,Unknown,Unknown,Unknown
191,John West,20,Unknown,51.0,Yoq--,New Charles,carterjeffrey@sullivan.com,1982-11-03 11:02:00,Data Science,0.0,inactive,15.5,good,117.0,1987-09-05 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
192,Scott Bradley,21,Female,82.0,Yoq--,New Patriciaborough,smallrachel@yahoo.com,1994-09-19 00:00:00,Data Science,0.0,inactive,3.46,good,100.0,2012-03-26 04:33:00,"them, clear","become, run",1,339.0,584.0,"python=4, excel=4, sql=4","become, run",laptop,Lenovo,2017.0,phone,Xiaomi,2018.0,Unknown,Unknown,Unknown
193,Mrs. Kelly Turner,20,Male,92.0,151-236-5905,East Willie,ali@gmail..com,1993-09-24 00:00:00,Other,0.0,pending,1.12,excellent,214.0,1984-07-12 09:27:50,"inside, become","forget, space",2,1211.0,701.0,"python=4, excel=2, sql=3","forget, space",laptop,Lenovo,2023.0,phone,Samsung,2021.0,Tashkent,Jillianview district,100658
200,Tyler Ramos,20,Female,0.0,Yoq--,New Christina,michael32@williams.com,1985-02-05 00:00:00,Python,0.0,active,3.91,average,0.0,Unknown,"media, bill","dog, red",3,832.0,485.0,"python=5, excel=1, sql=2","dog, red",laptop,Dell,2015.0,phone,Xiaomi,2018.0,Unknown,Unknown,Unknown
205,Kathryn Allen,20,Female,95.0,361-770-0621,New Kevinton,ali@gmail..com,1977-02-10 00:00:00,Python,77.0,pending,3.46,excellent,0.0,2019-08-10 00:00:00,"ground, whether","performance, shoulder",4,958.0,999.0,"python=1, excel=1, sql=1","performance, shoulder",laptop,Lenovo,2024.0,phone,Xiaomi,2021.0,Unknown,Unknown,Unknown
207,Stephen Gordon,21,Female,51.0,189-017-9140,East Monicastad,tdonovan@hall.biz,1975-08-14 00:00:00,Data Science,0.0,pending,-2.0,good,0.0,1982-08-05 00:00:00,"training, while","threat, off",5,824.0,1000.0,"python=2, excel=5, sql=2","threat, off",laptop,HP,2016.0,phone,Apple,2022.0,Unknown,Unknown,Unknown
208,Pedro Mcdaniel,20,Male,72.0,189-811-4095,Lake Linda,garciapamela@gmail.com,2018-03-09 00:00:00,Other,0.0,pending,1.08,average,0.0,1983-12-01 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
209,Margaret Peters,19,Female,51.0,790-556-3076,Lake Jenniferville,melissajohnston@gmail.com,2013-09-23 09:00:00,Data Science,0.0,inactive,3.46,excellent,239.0,1979-10-30 00:00:00,Unknown,Unknown,0,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
